epoch,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
1,1.0,0.9997449630196379,0.9996174445294568,0.9998724815098189,0.9993624075490947,0.9991073705687324,1.0,0.9997449630196379,0.9993624075490947,0.9854628921193573,0.9970670747258352,0.9997449630196379,0.9997449630196379,0.9956643713338434,1.0,0.9960469268043867,0.9892884468247896,1.0,0.9989798520785514,0.9998724815098189,0.9998724815098189,1.0,0.9996174445294568,0.9998724815098189,1.0,0.9993624075490947,0.9997449630196379,0.9998724815098189,1.0,0.9998724815098189,0.9992348890589136,0.9977046671767407,0.9991073705687324,1.0,1.0,0.9998724815098189,0.9998724815098189,1.0,0.9992348890589136,1.0,1.0,0.9991073705687324,1.0
2,1.0,0.9998724815098189,0.9996174445294568,0.9998724815098189,0.9997449630196379,0.9991073705687324,1.0,0.9997449630196379,0.9993624075490947,0.9854628921193573,0.9970670747258352,0.9997449630196379,0.9997449630196379,0.9956643713338434,1.0,0.9957918898240244,0.9892884468247896,1.0,0.9989798520785514,0.9998724815098189,0.9998724815098189,1.0,0.9996174445294568,0.9998724815098189,1.0,0.9993624075490947,0.9997449630196379,0.9998724815098189,1.0,0.9998724815098189,0.9992348890589136,0.9977046671767407,0.9991073705687324,1.0,1.0,0.9998724815098189,0.9998724815098189,1.0,0.9992348890589136,1.0,1.0,0.9991073705687324,1.0
3,1.0,0.9998724815098189,0.9997449630196379,0.9998724815098189,0.9997449630196379,0.9993624075490947,1.0,0.9998724815098189,0.9993624075490947,0.9854628921193573,0.9970670747258352,0.9997449630196379,0.9998724815098189,0.9956643713338434,1.0,0.9978321856669217,0.9892884468247896,1.0,0.9989798520785514,0.9998724815098189,0.9998724815098189,1.0,0.9996174445294568,0.9998724815098189,1.0,0.9993624075490947,0.9997449630196379,0.9998724815098189,1.0,0.9998724815098189,0.9992348890589136,0.9975771486865596,0.9991073705687324,1.0,1.0,0.9998724815098189,0.9998724815098189,1.0,0.9997449630196379,1.0,1.0,0.9991073705687324,1.0
4,1.0,0.9997449630196379,0.9996174445294568,0.9998724815098189,0.9997449630196379,0.9989798520785514,1.0,0.9997449630196379,0.9993624075490947,0.9854628921193573,0.9970670747258352,0.9997449630196379,0.9997449630196379,0.9956643713338434,1.0,0.9978321856669217,0.9892884468247896,1.0,0.9979597041571028,0.9998724815098189,0.9998724815098189,1.0,0.9996174445294568,0.9998724815098189,1.0,0.9993624075490947,0.9997449630196379,0.9998724815098189,1.0,0.9998724815098189,0.9992348890589136,0.9975771486865596,0.9991073705687324,1.0,1.0,0.9998724815098189,0.9998724815098189,1.0,0.9996174445294568,1.0,1.0,0.9991073705687324,1.0
5,1.0,0.9997449630196379,0.9996174445294568,0.9998724815098189,0.9997449630196379,0.9989798520785514,1.0,0.9997449630196379,0.9993624075490947,0.9867380770211681,0.9970670747258352,0.9997449630196379,1.0,0.9956643713338434,1.0,0.9974496301963784,0.9890334098444274,1.0,0.9978321856669217,1.0,0.9998724815098189,1.0,0.9996174445294568,0.9998724815098189,1.0,0.9993624075490947,0.9997449630196379,0.9998724815098189,1.0,0.9998724815098189,0.9992348890589136,0.9977046671767407,0.9991073705687324,1.0,1.0,0.9998724815098189,0.9998724815098189,1.0,0.9993624075490947,1.0,1.0,0.9991073705687324,1.0
6,1.0,0.9997449630196379,0.9996174445294568,0.9998724815098189,0.9997449630196379,0.9989798520785514,1.0,0.9997449630196379,0.9993624075490947,0.9867380770211681,0.9970670747258352,0.9997449630196379,1.0,0.9956643713338434,1.0,0.9978321856669217,0.9890334098444274,1.0,0.9989798520785514,0.9998724815098189,0.9998724815098189,1.0,0.9996174445294568,0.9998724815098189,1.0,0.9993624075490947,0.9997449630196379,0.9998724815098189,1.0,0.9998724815098189,0.9992348890589136,0.9977046671767407,0.9991073705687324,1.0,1.0,0.9998724815098189,0.9998724815098189,1.0,0.9997449630196379,1.0,1.0,0.9991073705687324,1.0
7,1.0,0.9997449630196379,0.9996174445294568,0.9998724815098189,0.9997449630196379,0.9989798520785514,1.0,0.9994899260392757,0.9991073705687324,0.9867380770211681,0.9970670747258352,0.9997449630196379,1.0,0.9956643713338434,1.0,0.9974496301963784,0.9890334098444274,1.0,0.9989798520785514,0.9998724815098189,0.9998724815098189,1.0,0.9996174445294568,0.9998724815098189,1.0,0.9993624075490947,0.9997449630196379,0.9998724815098189,1.0,0.9998724815098189,0.9992348890589136,0.9977046671767407,0.9991073705687324,1.0,1.0,0.9998724815098189,0.9998724815098189,1.0,0.9993624075490947,1.0,1.0,0.9991073705687324,1.0
8,1.0,0.9998724815098189,0.9996174445294568,0.9998724815098189,0.9997449630196379,0.9992348890589136,1.0,0.9996174445294568,0.9993624075490947,0.9854628921193573,0.9970670747258352,0.9997449630196379,1.0,0.9956643713338434,1.0,0.9978321856669217,0.9892884468247896,1.0,0.9979597041571028,0.9998724815098189,0.9998724815098189,1.0,0.9996174445294568,0.9998724815098189,1.0,0.9993624075490947,0.9997449630196379,0.9998724815098189,1.0,0.9998724815098189,0.9992348890589136,0.9977046671767407,0.9991073705687324,1.0,1.0,0.9998724815098189,0.9998724815098189,1.0,0.9994899260392757,1.0,1.0,0.9991073705687324,1.0
9,1.0,0.9997449630196379,0.9996174445294568,0.9998724815098189,0.9997449630196379,0.9991073705687324,1.0,0.9998724815098189,0.9993624075490947,0.9867380770211681,0.9970670747258352,0.9997449630196379,1.0,0.9956643713338434,1.0,0.9978321856669217,0.9890334098444274,1.0,0.9989798520785514,0.9998724815098189,0.9998724815098189,1.0,0.9996174445294568,0.9998724815098189,1.0,0.9993624075490947,0.9997449630196379,0.9998724815098189,1.0,0.9998724815098189,0.9992348890589136,0.9977046671767407,0.9991073705687324,1.0,1.0,0.9998724815098189,0.9998724815098189,1.0,0.9997449630196379,1.0,1.0,0.9991073705687324,1.0
10,1.0,0.9997449630196379,0.9996174445294568,0.9998724815098189,0.9997449630196379,0.9991073705687324,1.0,0.9996174445294568,0.9991073705687324,0.9867380770211681,0.9970670747258352,0.9997449630196379,1.0,0.9956643713338434,1.0,0.9978321856669217,0.9890334098444274,1.0,0.9989798520785514,0.9998724815098189,0.9998724815098189,1.0,0.9996174445294568,0.9998724815098189,1.0,0.9993624075490947,0.9997449630196379,0.9998724815098189,1.0,0.9998724815098189,0.9992348890589136,0.9977046671767407,0.9991073705687324,1.0,1.0,0.9998724815098189,0.9998724815098189,1.0,0.9997449630196379,1.0,1.0,0.9991073705687324,1.0
